,Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Revenue,Date,Location,Device,Keyword,Month,Weekday,CPC,CTR,CPL,CPA,ROI,AOV,ROAS
0,A1000,Data Analytics Course: Basics,104.0,4498.0,232.0,14.0,7.0,0.0673076923076923,386.0,2024-11-16,Hyderabad,Desktop,Learn data analytics,November,Saturday,2.23,2.31,16.57,33.14,66.38,55.14,1.66
1,A1001,Data Analytics Course: Basics,173.0,5107.0,217.0,10.0,8.0,0.046242774566473986,343.0,2024-11-20,Hyderabad,Mobile,Data analytics course,November,Wednesday,1.25,3.39,21.7,27.12,58.06,42.88,1.58
2,A1002,Data Analytics Course: Visualizations,90.0,4544.0,204.0,26.0,9.0,0.1,331.0,2024-11-16,Hyderabad,Desktop,Data analytics online,November,Saturday,2.27,1.98,7.85,22.67,62.25,36.78,1.62
3,A1003,Data Analytics Course: Advanced,142.0,3185.0,238.0,17.0,6.0,0.04225352112676056,250.0,2024-11-26,Hyderabad,Tablet,Data analytics training,November,Tuesday,1.68,4.46,14.0,39.67,5.04,41.67,1.05
4,A1004,Data Analytics Course: ML,156.0,3361.0,196.0,30.0,8.0,0.05128205128205128,223.0,2024-11-22,Hyderabad,Desktop,Online data analytics,November,Friday,1.26,4.64,6.53,24.5,13.78,27.88,1.14
5,A1005,Data Analytics Course: Basics,195.0,3776.0,244.0,10.0,8.0,0.041025641025641026,268.0,2024-11-16,Hyderabad,Mobile,Data analytics training,November,Saturday,1.25,5.16,24.4,30.5,9.84,33.5,1.1
6,A1006,Data Analytics Course: ML,116.0,4480.0,238.0,17.0,5.0,0.04310344827586207,335.0,2024-11-06,Hyderabad,Tablet,Data analytics course,November,Wednesday,2.05,2.59,14.0,47.6,40.76,67.0,1.41
7,A1007,Data Analytics Course: ML,184.0,5060.0,230.0,23.0,3.0,0.016304347826086956,308.0,2024-11-24,Hyderabad,Tablet,Analytics for data,November,Sunday,1.25,3.64,10.0,76.67,33.91,102.67,1.34
8,A1008,Data Analytics Course: ML,113.0,5434.0,175.0,27.0,4.0,0.035398230088495575,278.0,2024-11-24,Hyderabad,Tablet,Data analytics training,November,Sunday,1.55,2.08,6.48,43.75,58.86,69.5,1.59
9,A1009,Data Analytics Course: Advanced,166.0,3355.0,187.0,24.0,9.0,0.05421686746987952,210.0,2024-11-12,Hyderabad,Mobile,Online data analytics,November,Tuesday,1.13,4.95,7.79,20.78,12.3,23.33,1.12
10,A1010,Data Analytics Course: Basics,101.0,5399.0,237.0,20.0,6.0,0.0594059405940594,388.0,2024-11-14,Hyderabad,Desktop,Learn data analytics,November,Thursday,2.35,1.87,11.85,39.5,63.71,64.67,1.64
11,A1011,Data Analytics Course: ML,101.0,3613.0,208.0,24.0,5.0,0.04950495049504951,231.0,2024-11-22,Hyderabad,Desktop,Online data analytics,November,Friday,2.06,2.8,8.67,41.6,11.06,46.2,1.11
12,A1012,Data Analytics Course: Advanced,125.0,3259.0,191.0,18.0,3.0,0.024,400.0,2024-11-27,Hyderabad,Desktop,Data analytics online,November,Wednesday,1.53,3.84,10.61,63.67,109.42,133.33,2.09
13,A1013,Data Analytics Course: ML,196.0,3742.0,207.0,10.0,7.0,0.03571428571428571,331.0,2024-11-12,Hyderabad,Mobile,Data analytics training,November,Tuesday,1.06,5.24,20.7,29.57,59.9,47.29,1.6
14,A1014,Data Analytics Course: Advanced,181.0,4311.0,185.0,11.0,9.0,0.049723756906077346,314.0,2024-11-04,Hyderabad,Desktop,Data analytics training,November,Monday,1.02,4.2,16.82,20.56,69.73,34.89,1.7
15,A1015,Data Analytics Course: Advanced,102.0,5461.0,202.0,22.0,8.0,0.0784313725490196,358.0,2024-11-29,Hyderabad,Desktop,Data analytics course,November,Friday,1.98,1.87,9.18,25.25,77.23,44.75,1.77
16,A1016,Data Analytics Course: Advanced,193.0,5159.0,294.0,15.0,9.0,0.046632124352331605,329.0,2024-11-10,Hyderabad,Mobile,Learn data analytics,November,Sunday,1.52,3.74,19.6,32.67,11.9,36.56,1.12
17,A1017,Data Analytics Course: Visualizations,149.0,4431.0,207.0,19.0,9.0,0.06040268456375839,346.0,2024-11-12,Hyderabad,Mobile,Learn data analytics,November,Tuesday,1.39,3.36,10.89,23.0,67.15,38.44,1.67
18,A1018,Data Analytics Course: ML,150.0,3113.0,217.0,20.0,5.0,0.03333333333333333,364.0,2024-11-07,Hyderabad,Mobile,Analytics for data,November,Thursday,1.45,4.82,10.85,43.4,67.74,72.8,1.68
19,A1019,Data Analytics Course: Advanced,145.0,5278.0,227.0,25.0,6.0,0.041379310344827586,309.0,2024-11-05,Hyderabad,Desktop,Data analytics course,November,Tuesday,1.57,2.75,9.08,37.83,36.12,51.5,1.36
20,A1020,Data Analytics Course: Advanced,184.0,4143.0,223.0,10.0,10.0,0.05434782608695652,354.0,2024-11-21,Hyderabad,Tablet,Learn data analytics,November,Thursday,1.21,4.44,22.3,22.3,58.74,35.4,1.59
21,A1021,Data Analytics Course: ML,171.0,4154.0,184.0,30.0,7.0,0.04093567251461988,368.0,2024-11-08,Hyderabad,Tablet,Data analytics online,November,Friday,1.08,4.12,6.13,26.29,100.0,52.57,2.0
22,A1022,Data Analytics Course: Advanced,122.0,5187.0,211.0,27.0,6.0,0.04918032786885246,270.0,2024-11-20,Hyderabad,Desktop,Online data analytics,November,Wednesday,1.73,2.35,7.81,35.17,27.96,45.0,1.28
23,A1023,Data Analytics Course: Visualizations,188.0,5798.0,230.0,28.0,5.0,0.026595744680851064,296.0,2024-11-30,Hyderabad,Tablet,Data analytics course,November,Saturday,1.22,3.24,8.21,46.0,28.7,59.2,1.29
